age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
61,Private,21175.0,12th,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60,United-States,<=50K
48,Local-gov,67229.0,Masters,14,Separated,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40,United-States,<=50K
36,Private,236391.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45,United-States,>50K
24,Private,325596.0,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,45,United-States,<=50K
40,Private,83411.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,37,United-States,<=50K
33,Self-emp-inc,154227.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50,United-States,>50K
37,Private,248010.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,1887.0,40,United-States,>50K
34,Private,198613.0,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,4650.0,0.0,40,United-States,<=50K
56,Self-emp-inc,321529.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,40,United-States,>50K
28,,168524.0,HS-grad,9,Married-civ-spouse,,Own-child,White,Female,0.0,0.0,38,United-States,>50K
37,Private,203079.0,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,55,United-States,<=50K
44,Private,284652.0,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0.0,0.0,40,United-States,<=50K
64,,201368.0,Some-college,10,Married-civ-spouse,,Husband,White,Male,0.0,0.0,8,United-States,<=50K
54,Private,59840.0,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,45,United-States,<=50K
23,Private,52753.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,50,United-States,<=50K
34,State-gov,513100.0,Bachelors,13,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,0.0,0.0,40,,<=50K
22,Private,199266.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,45,United-States,<=50K
33,Private,196385.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1977.0,40,United-States,>50K
39,Private,163205.0,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50,United-States,>50K
47,Private,411047.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,37,United-States,<=50K
79,,48574.0,7th-8th,4,Widowed,,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
26,Private,209440.0,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female,0.0,0.0,55,United-States,<=50K
31,Private,56964.0,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K
44,Private,299197.0,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,45,United-States,<=50K
42,Self-emp-inc,240628.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,50,United-States,>50K
19,Private,355313.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40,United-States,<=50K
27,Private,132267.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40,United-States,>50K
51,Local-gov,174861.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40,United-States,>50K
28,Self-emp-inc,142443.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50,United-States,<=50K
57,Private,26716.0,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,45,United-States,<=50K
45,Local-gov,185588.0,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,40,United-States,<=50K
50,Private,175029.0,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,>50K
34,Self-emp-inc,34848.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,54,United-States,<=50K
45,Private,411273.0,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40,United-States,<=50K
73,Local-gov,143437.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,20,United-States,<=50K
34,Private,357145.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,50,United-States,>50K
31,Private,236861.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,55,United-States,>50K
19,Private,53355.0,11th,7,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,12,United-States,<=50K
25,Private,29106.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,0.0,50,United-States,<=50K
38,Federal-gov,213274.0,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Female,6497.0,0.0,40,United-States,<=50K
39,Private,22463.0,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40,United-States,<=50K
23,Private,180497.0,Bachelors,13,Never-married,Tech-support,Own-child,Black,Female,0.0,0.0,32,United-States,<=50K
49,Private,37306.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,<=50K
33,Federal-gov,137814.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,32,United-States,<=50K
21,Private,447488.0,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,38,Mexico,<=50K
31,Private,220915.0,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0.0,0.0,40,United-States,<=50K
23,Private,42251.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,45,United-States,<=50K
34,Private,162312.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0.0,0.0,40,Philippines,<=50K
25,Private,77698.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40,Philippines,<=50K
